source,target,weight
C1QC,FCGR3A,0.9077530548285098
LAPTM5,CD86,0.9578200095796804
CD53,LILRB4,0.9239654910988708
ISLR,HTRA3,0.9328372482872884
COL3A1,FBN1,0.9517653969297296
FLRT2,C1R,0.9033221587853504
LAPTM5,C1QC,0.9302144216276936
TYROBP,FPR3,0.9006985143767943
FERMT2,C1S,0.9053167738620491
CSF2RB,KLHL6,0.9006363469026865
COL1A2,BGN,0.9293145504447022
LRRC25,SIGLEC9,0.938803456264914
MRAS,C1R,0.909211841509448
OLFML2B,PDGFRB,0.9138177689523844
THY1,PCOLCE,0.9217388870030604
MRC2,COL8A1,0.9084820450558928
CD53,SIGLEC10,0.9287864815777079
CD84,CSF1R,0.9176148476656616
BTK,LILRB1,0.9269855731296156
FBXL7,GLI3,0.9274419102879852
ZEB1,TCF4,0.9444065337505664
COL12A1,LOXL2,0.9152745683416844
RAB34,COL6A2,0.9138157655981632
NTM,COL1A2,0.9077015002231276
EVC,COL8A2,0.930515936552922
LILRB1,HCLS1,0.9269167656152968
FPR3,PDCD1LG2,0.9176031980736566
CLEC7A,SLAMF8,0.9243293034920962
THEMIS,PYHIN1,0.9010258423498088
KLHL6,APBB1IP,0.9192290276194308
ITGAL,MYO1G,0.930899295282343
EFS,PDGFRB,0.9271134211503408
ITGAL,IL21R,0.9197292559658764
WAS,CD53,0.9385458736168296
CYTH4,MYO1F,0.9419329314516512
NPR1,TIE1,0.920034200158824
SCARF2,AEBP1,0.9440292021484512
CYBB,LCP1,0.9003915803463504
LILRB1,CD53,0.9349088046936824
CMKLR1,CLEC7A,0.9031260687927464
HSPB2,EFEMP2,0.9298562623945408
SPI1,LAPTM5,0.964459756073886
ANGPTL2,EMILIN1,0.9039763630954812
RHOH,PTPRC,0.9040556390732052
CD84,MNDA,0.9023516144053214
HCK,BTK,0.9026052046701892
CYBB,SIGLEC10,0.9192647006899474
THY1,VCAN,0.9063277231991812
EFS,C1S,0.9122296534208484
TRAF3IP3,ARHGAP9,0.9245739848765672
PIK3R5,APBB1IP,0.9210630598460426
LILRB2,PDCD1LG2,0.9016138785087068
COL5A1,PDGFRB,0.9456137912863676
IL21R,IKZF1,0.9083105330523644
TFEC,C1QB,0.9011517338013452
GGT1,GGT3P,0.9227011602239916
IKZF1,PPP1R16B,0.9252454549835464
COL1A2,AEBP1,0.9430585093699568
TAGLN,HAND2,0.9029949329794462
PDCD1LG2,FCER1G,0.900941114758956
CFH,VIM,0.9036381161024972
NCKAP1L,ABI3,0.9053471090626004
ISLR,AEBP1,0.9119412317122504
JAM2,CYYR1,0.9029639643973396
MNDA,TFEC,0.9145241412046284
FPR3,CD84,0.931119914895288
ITGB2,SLAMF8,0.9563191640917336
CD3E,TBC1D10C,0.9163267448883248
TSPYL5,C14orf132,0.9017705112217004
CD93,CDH5,0.9423236768548386
CLEC7A,LAPTM5,0.91887787981778
MSRB3,DACT3,0.9305299717237824
CD96,CD247,0.9188008888723108
CCDC8,PNMAL2,0.9218007398697216
BGN,PCOLCE,0.903728496779766
ZEB2,FLI1,0.9227128373407862
PCDH12,COL4A2,0.915230244589621
ZEB2,CCDC80,0.9069069996504356
FCGR1C,FCGR3A,0.9081464410967242
CCDC80,SULF1,0.9080107443471676
GIMAP4,EVI2A,0.9072041739536978
RCSD1,DOCK10,0.9284134220706982
FPR3,CD86,0.9491812161353288
CD86,FCGR3A,0.910881022119094
FBN1,EFS,0.905163208807246
PPP1R16B,PRKCB,0.91118602154344
RCSD1,NCKAP1L,0.9168034506429728
FCGR3A,CD163,0.9090902992602994
RAB31,ANGPTL2,0.9184435404760274
CALD1,FAM26E,0.9035109259204638
MYL9,TAGLN,0.9541263285736764
HCLS1,LCP2,0.9121919813795736
FAM78A,RASAL3,0.9027912171225992
VSIG4,LRRC25,0.9060251246134085
MXRA8,MFRP,0.923025416465546
CYTH4,CMKLR1,0.9162099089073394
PDGFRB,VASN,0.9162072462221468
COL1A2,SPARC,0.9552393032849736
AIF1,MS4A4A,0.9039487407570896
MSRB3,NEXN,0.9190664969106538
TSPYL5,C1R,0.91106332983699
AOC3,FERMT2,0.9029460378774936
BOC,BNC2,0.9045050356838036
COL1A1,COL5A2,0.9619311012330491
DDR2,AMOTL1,0.91799868505856
CD53,MS4A7,0.905938819658458
C1R,C1S,0.9843179921366584
C10orf72,C1S,0.9232454786031284
EVC,COL5A2,0.905006277671944
AEBP1,COL8A1,0.9114506270828692
DZIP1,CCDC8,0.906632321639642
SDC2,RAB34,0.9070439392357528
ITGB2,SIGLEC7,0.9392891426370076
DUOX2,DUOXA2,0.9324656424232652
HLA-DRB1,HLA-DRB5,0.9112595060304672
COL12A1,MRC2,0.9127636650932603
COL1A2,NTM,0.9077015002231276
ARHGAP30,SASH3,0.9334541061456344
SRGN,STX11,0.916217725299557
SPI1,ITGAX,0.9102929804107142
CCDC8,COL8A1,0.9059538714463604
CD2,CXCR6,0.9400814577772536
HCK,CD86,0.9331576422449802
CSF2RB,LCP2,0.9103082471997572
DOCK10,FLI1,0.9265911209084671
OLFML1,PDGFRB,0.9159293562747578
TNFAIP8L2,AIF1,0.9356393388490872
EVC,ZNF521,0.9084739883898156
ARHGEF6,SLC9A9,0.9033120306736412
SPI1,MS4A4A,0.9117949840861294
RCSD1,KLHL6,0.9177026049881158
EMILIN1,COL6A2,0.9419921892967906
C1R,GGT5,0.9053049098021008
SPI1,CYBB,0.9085908383635206
FCER1G,FCGR1B,0.9115926241527804
EFEMP2,MFRP,0.929737698092846
ODZ4,CCDC8,0.9002462400854063
CALD1,MYLK,0.9017096923292204
SLAMF8,SPI1,0.9505267828134176
CLEC7A,IGSF6,0.9387749820005016
